,importance,stddev,p_value,n,p99_high,p99_low
revision__hypothesis_000046,9.90802005739497e-07,5.120874062084174e-07,0.006192333619459697,5,2.045197052922746e-06,-6.359304144375227e-08
group__hypothesis_000018,9.67274722001748e-07,6.746531073853162e-07,0.0163576868419293,5,2.356394794805002e-06,-4.2184535080150567e-07
revision__hypothesis_000014,9.536384409976491e-07,4.911644129795738e-07,0.006119153362670719,5,1.9649527559362108e-06,-5.7675873940912715e-08
group__hypothesis_000011,9.397272028892865e-07,3.082826143859392e-07,0.00121083900725616,5,1.5744853668284778e-06,3.049690389500953e-07
revision__hypothesis_000018,9.222595452686698e-07,3.3718884840515584e-07,0.0018095333054477724,5,1.6165360445800401e-06,2.2798304595729937e-07
group__hypothesis_000031,9.203811897473026e-07,2.676603384388507e-07,0.0007694746072038166,5,1.4714975260519182e-06,3.6926485344268704e-07
group__hypothesis_000005,8.703539383756072e-07,4.1629452911386653e-07,0.0047415215413113086,5,1.7275101276229122e-06,1.3197749128302118e-08
revision__hypothesis_000044,8.59592540569887e-07,9.483208199245765e-07,0.05630765583004936,5,2.812198215981234e-06,-1.0930131348414598e-06
group__hypothesis_000007,8.51510753763175e-07,2.9757467300488235e-07,0.0015317897836707457,5,1.4642211183992922e-06,2.388003891270578e-07
group__hypothesis_000039,8.400489366483792e-07,3.427738255310063e-07,0.002699274842838902,5,1.545824981054463e-06,1.3427289224229553e-07
revision__hypothesis_000032,8.365475395445373e-07,2.1013839159183025e-07,0.0004401060873194892,5,1.269225392253343e-06,4.038696868357317e-07
revision__hypothesis_000045,8.324781464881775e-07,4.892355076610425e-07,0.009511904912876262,5,1.8398208187155786e-06,-1.7486452573922362e-07
group__hypothesis_000058,8.321063027819499e-07,3.852271702706728e-07,0.004230647751466036,5,1.6252943707745875e-06,3.8918234789312344e-08
group__hypothesis_000002,7.416105736637163e-07,3.400267546118768e-07,0.004089303197590736,5,1.4417303610787574e-06,4.1490786248675296e-08
revision__hypothesis_000011,7.372305702036232e-07,1.9382540458578717e-07,0.0005240935323448539,5,1.1363197571975448e-06,3.3814138320970145e-07
group__hypothesis_000043,7.361938644950556e-07,4.895233516538536e-07,0.014115442812792896,5,1.7441292114820813e-06,-2.717414824919701e-07
group__hypothesis_000032,7.257456542534506e-07,3.5034843195139766e-07,0.004896231769738952,5,1.4471179179713064e-06,4.37339053559465e-09
revision__hypothesis_000039,7.240548255950884e-07,1.8882402034997148e-07,0.0005080825228791547,5,1.1128460933209893e-06,3.352635578691875e-07
group__hypothesis_000008,6.756241557712541e-07,3.320599966692799e-07,0.005210371302343389,5,1.3593402784701916e-06,-8.091966927683454e-09
revision__hypothesis_000058,6.697070658399223e-07,3.270171460547654e-07,0.00509441183134923,5,1.343039889423972e-06,-3.625757744127233e-09
revision__hypothesis_000033,6.191728677832654e-07,1.9776176123506236e-07,0.0010955300943565132,5,1.0263670675242754e-06,2.119786680422554e-07
revision__hypothesis_000048,6.127072697500503e-07,4.4365540989583206e-07,0.018320834508606613,5,1.526199890694983e-06,-3.0078535119488243e-07
revision__hypothesis_000037,5.909083769738014e-07,1.9226194394083074e-07,0.0011741692111474898,5,9.867783768904353e-07,1.9503837705716754e-07
group__hypothesis_000012,5.813378054973632e-07,1.225098387498425e-07,0.00022328650156504728,5,8.335872567492053e-07,3.2908835424552113e-07
group__hypothesis_000041,5.792335150391179e-07,3.7602831249539826e-07,0.013093637867742848,5,1.3534810077307394e-06,-1.950139776525036e-07
revision__hypothesis_000030,5.668752872981366e-07,5.523878964539672e-07,0.04171149597483419,5,1.7042496009089422e-06,-5.70499026312669e-07
revision__hypothesis_000031,5.625477878371139e-07,4.1324346206860186e-07,0.019126874418636662,5,1.413421787867991e-06,-2.883262121937632e-07
group__hypothesis_000045,5.434897532481241e-07,2.8032492149503366e-07,0.006149371654129449,5,1.1206826411085601e-06,-3.3703134612311995e-08
revision__hypothesis_000005,5.276268666916535e-07,3.080890068640643e-07,0.009313483268822118,5,1.161986390067364e-06,-1.0673265668405688e-07
group__hypothesis_000030,5.077732957108885e-07,5.058085099339606e-07,0.0440780441416871,5,1.5492400086814621e-06,-5.336934172596851e-07
revision__hypothesis_000035,4.981715208063277e-07,3.7925585381468927e-07,0.0212540469283252,5,1.279064565683731e-06,-2.827215240710756e-07
group__hypothesis_000006,4.900806173488762e-07,3.057386781503461e-07,0.011539634450938606,5,1.119600781418046e-06,-1.394395467202934e-07
group__hypothesis_000013,4.5329589626364213e-07,2.5581977123877635e-07,0.008323713677743356,5,9.800323410492743e-07,-7.344054852198996e-08
revision__hypothesis_000036,4.504232966089463e-07,2.929884188143215e-07,0.013175774777741806,5,1.0536905004779295e-06,-1.528439072600368e-07
group__hypothesis_000049,4.423007583071088e-07,2.695908079014443e-07,0.010708974034144074,5,9.973919579171282e-07,-1.1279044130291047e-07
group__hypothesis_000019,4.303260487946794e-07,1.5183376768473647e-07,0.0015871111936081438,5,7.429538750232376e-07,1.176982225661212e-07
revision__hypothesis_000013,3.992071169654776e-07,1.6286562931420714e-07,0.0026976638180804483,5,7.345496987656475e-07,6.386453516530777e-08
revision__hypothesis_000055,3.9073678631448274e-07,6.923150235248245e-08,0.0001134738113567948,5,5.332854065392952e-07,2.4818816608967026e-07
revision__hypothesis_000050,3.7650756648022526e-07,2.604863099659355e-07,0.015957200980410854,5,9.128524790034976e-07,-1.5983734604304705e-07
revision__hypothesis_000008,3.726993598535545e-07,2.0562117107185134e-07,0.0077187900912339,5,7.96076193077101e-07,-5.0677473369992005e-08
revision__hypothesis_000020,3.6417993514861267e-07,1.6299056146267423e-07,0.0037553404341328068,5,6.997797539692221e-07,2.8580116328003297e-08
revision__hypothesis_000038,3.4302791553570464e-07,1.4119431388970754e-07,0.002785374525288032,5,6.337489593474195e-07,5.230687172398987e-08
group__hypothesis_000040,3.330155021368311e-07,2.568325402269261e-07,0.022073540333043616,5,8.618372522670186e-07,-1.958062479933564e-07
revision__hypothesis_000041,3.1594541173816936e-07,3.410544496710683e-07,0.05352741051182447,5,1.018181237484341e-06,-3.8629041400800226e-07
group__hypothesis_000042,2.9743833440239395e-07,4.339714924836288e-07,0.10007497546445117,5,1.1909916355496375e-06,-5.961149667448497e-07
group__hypothesis_000020,2.934693058855974e-07,1.8252372480940182e-07,0.011427371133978226,5,6.69288178014127e-07,-8.234956624293223e-08
revision__hypothesis_000049,2.7587754340602274e-07,2.1732448509396632e-07,0.023468854555951314,5,7.233516619580939e-07,-1.7159657514604843e-07
group__hypothesis_000057,2.5602170649355004e-07,1.5237350185147053e-07,0.009912349895067294,5,5.697608528313327e-07,-5.771743984423254e-08
profile_seed,2.5420513795296086e-07,2.1534893975772793e-07,0.028804345259471634,5,6.976115813527789e-07,-1.8920130544685715e-07
revision__hypothesis_000019,2.463589026880568e-07,1.1410884000146208e-07,0.004237931840615823,5,4.813105814028414e-07,1.1407223973272282e-08
group__hypothesis_000038,2.40963379854179e-07,3.6414520695211486e-07,0.10653029873943173,5,9.907433939902072e-07,-5.088166342818491e-07
group__hypothesis_000055,2.3514818334386995e-07,3.1642307080187893e-07,0.08595196401003773,5,8.866676595565456e-07,-4.163712928688057e-07
revision__hypothesis_000043,2.2260753151872215e-07,3.501019557451078e-07,0.11407565783154933,5,9.434722973211641e-07,-4.982572342837199e-07
profile_presets,2.0072046102402055e-07,1.504872000070846e-07,0.020319590471689058,5,5.105756857927504e-07,-1.0913476374470932e-07
group__hypothesis_000048,2.0001444739890817e-07,2.5636655664857383e-07,0.07800257734479239,5,7.278767309006907e-07,-3.2784783610287443e-07
revision__hypothesis_000042,1.8002012038427474e-07,3.3541799342237705e-07,0.14815722773508705,5,8.706504048102867e-07,-5.106101640417373e-07
group__hypothesis_000044,1.2833182227333555e-07,3.3442267276532344e-07,0.21961343576004608,5,8.169127277096807e-07,-5.602490831630096e-07
revision__hypothesis_000057,1.2478123699511042e-07,8.802669903131158e-08,0.016933564961533518,5,3.060294269588569e-07,-5.646695296863608e-08
group__hypothesis_000036,7.402368312360423e-08,2.0340301705160516e-07,0.2307232989794657,5,4.928333065613172e-07,-3.4478594031410877e-07
group__hypothesis_000033,5.471755703029724e-08,1.6925281866111294e-07,0.2548759432571598,5,4.0321144997608454e-07,-2.9377633591549006e-07
group__hypothesis_000054,0.0,0.0,0.5,5,0.0,0.0
revision__hypothesis_000054,0.0,0.0,0.5,5,0.0,0.0
revision__hypothesis_000047,0.0,0.0,0.5,5,0.0,0.0
group__hypothesis_000047,0.0,0.0,0.5,5,0.0,0.0
revision__hypothesis_000007,-4.2073663092075716e-08,2.893501099512194e-07,0.6193149506139239,5,5.537022125410075e-07,-6.37849538725159e-07
revision__hypothesis_000012,-2.0425895988344955e-07,2.6460006114189457e-07,0.9202997226368339,5,3.4055622316920614e-07,-7.490741429361052e-07
group__hypothesis_000052,-7.473579300394141e-07,4.135727681558044e-07,0.9922028145392762,5,1.041941157765068e-07,-1.598909975855335e-06
revision__hypothesis_000052,-9.463651756993292e-07,3.290932087944099e-07,0.998495983062401,5,-2.687577102401152e-07,-1.6239726411585432e-06
